ID	QUALITY
ERR346600.649	31
ERR346600.643	35
ERR346600.642	33
ERR346600.654	37
ERR346600.651	34
ERR346600.650	38
ERR346600.662	36
ERR346600.660	29
ERR346600.653	36
ERR346600.658	29
ERR346600.647	33
ERR346600.648	37
ERR346600.656	36
ERR346600.657	26
ERR346600.667	22
ERR346600.664	34
ERR346600.663	25
ERR346600.661	35
ERR346600.659	34
ERR346600.666	32
ERR346600.652	36
ERR346600.676	38
ERR346600.670	24
ERR346600.672	30
ERR346600.671	36
ERR346600.682	29
ERR346600.680	24
ERR346600.674	31
ERR346600.681	24
ERR346600.685	38
ERR346600.673	24
ERR346600.678	25
ERR346600.679	33
ERR346600.695	35
ERR346600.687	37
ERR346600.692	37
ERR346600.697	37
ERR346600.700	35
ERR346600.696	35
ERR346600.688	36
ERR346600.689	37
ERR346600.686	37
ERR346600.694	35
ERR346600.702	35
ERR346600.698	36
ERR346600.704	31
ERR346600.690	29
ERR346600.707	36
ERR346600.709	28
ERR346600.705	34
ERR346600.701	26
ERR346600.693	29
ERR346600.708	34
ERR346600.683	35
ERR346600.714	28
ERR346600.724	33
ERR346600.719	31
ERR346600.723	28
ERR346600.720	38
ERR346600.715	36
ERR346600.706	30
ERR346600.710	37
ERR346600.716	29
ERR346600.726	26
ERR346600.717	33
ERR346600.722	36
ERR346600.725	24
ERR346600.735	37
ERR346600.727	35
ERR346600.733	37
ERR346600.737	37
ERR346600.729	33
ERR346600.732	36
ERR346600.743	36
ERR346600.730	29
ERR346600.731	33
ERR346600.741	30
ERR346600.736	35
ERR346600.738	36
ERR346600.748	33
ERR346600.734	38
ERR346600.728	25
ERR346600.739	38
ERR346600.746	36
ERR346600.753	31
ERR346600.756	28
ERR346600.745	34
ERR346600.740	36
ERR346600.757	28
ERR346600.747	33
ERR346600.752	33
ERR346600.754	27
ERR346600.758	31
ERR346600.755	31
ERR346600.759	26
ERR346600.763	32
ERR346600.764	37
ERR346600.767	29
ERR346600.760	36
ERR346600.749	22
ERR346600.750	37
ERR346600.762	28
ERR346600.742	37
ERR346600.775	36
ERR346600.776	24
ERR346600.766	35
ERR346600.786	23
ERR346600.777	37
ERR346600.773	26
ERR346600.772	36
ERR346600.771	31
ERR346600.779	34
ERR346600.765	33
ERR346600.781	29
ERR346600.785	30
ERR346600.782	34
ERR346600.791	33
ERR346600.789	30
ERR346600.780	26
ERR346600.770	33
ERR346600.778	37
ERR346600.803	31
ERR346600.784	30
ERR346600.792	27
ERR346600.787	26
ERR346600.793	29
ERR346600.798	37
ERR346600.805	33
ERR346600.788	27
ERR346600.799	35
ERR346600.800	35
ERR346600.774	32
ERR346600.783	38
ERR346600.790	38
ERR346600.808	34
ERR346600.804	35
ERR346600.811	28
ERR346600.822	26
ERR346600.796	33
ERR346600.809	29
ERR346600.815	28
ERR346600.801	26
ERR346600.819	35
ERR346600.814	25
ERR346600.795	35
ERR346600.817	30
ERR346600.823	26
ERR346600.828	36
ERR346600.807	20
ERR346600.813	27
ERR346600.818	31
ERR346600.806	26
ERR346600.831	30
ERR346600.829	37
ERR346600.836	36
ERR346600.816	23
ERR346600.832	32
ERR346600.827	27
ERR346600.835	32
ERR346600.821	38
ERR346600.838	36
ERR346600.834	26
ERR346600.839	37
ERR346600.851	25
ERR346600.848	36
ERR346600.841	36
ERR346600.844	35
ERR346600.825	28
ERR346600.855	22
ERR346600.849	24
ERR346600.847	36
ERR346600.833	23
ERR346600.856	36
ERR346600.850	33
ERR346600.859	23
ERR346600.845	33
ERR346600.857	37
ERR346600.843	34
ERR346600.854	33
ERR346600.853	28
ERR346600.866	32
ERR346600.863	34
ERR346600.864	35
ERR346600.860	36
ERR346600.869	32
ERR346600.873	35
ERR346600.865	24
ERR346600.871	27
ERR346600.861	35
ERR346600.842	35
ERR346600.858	29
ERR346600.868	33
ERR346600.887	30
ERR346600.880	30
ERR346600.879	33
ERR346600.877	22
ERR346600.882	34
ERR346600.872	31
ERR346600.870	34
ERR346600.883	35
ERR346600.867	36
ERR346600.888	34
ERR346600.893	36
ERR346600.885	36
ERR346600.892	21
ERR346600.884	34
ERR346600.897	37
ERR346600.890	27
ERR346600.875	36
ERR346600.898	25
ERR346600.891	33
ERR346600.894	34
ERR346600.886	26
ERR346600.881	36
ERR346600.904	36
ERR346600.902	35
ERR346600.905	37
ERR346600.906	33
ERR346600.895	35
ERR346600.903	36
ERR346600.909	31
ERR346600.899	24
ERR346600.916	35
ERR346600.921	30
ERR346600.915	36
ERR346600.918	38
ERR346600.910	36
ERR346600.923	37
ERR346600.927	29
ERR346600.907	31
ERR346600.913	28
ERR346600.917	34
ERR346600.896	34
ERR346600.912	37
ERR346600.925	26
ERR346600.929	33
ERR346600.914	31
ERR346600.932	37
ERR346600.934	32
ERR346600.928	29
ERR346600.908	21
